Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,56570032.28,3609428.95,4621957.20,23293,0,32393,0,47644,0,2685,0,171,0.7081280181666941,28068
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,115574788.11,2370888.27,794560.00,28685,0,13189,0,57197,0,9256,0,326,0.9355587126231077,80028
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,13246414.38,111344.89,47760.00,2060,0,2004,0,5554,0,499,0,48,0.721983074561056,4992
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,38402019.40,19293320.17,14396148.00,13505,0,8713,0,30315,0,4381,0,100,0.941239867263366,42420
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,26278574.89,6122604.88,9652134.00,5990,0,3233,0,11306,0,2002,0,175,0.4410296748495097,33156
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,16230761.64,3682052.26,7425789.00,4345,0,1841,0,10170,0,1926,0,54,0.927003508185606,15000
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,10117576.34,5957882.55,1644764.27,5325,0,4336,0,10429,0,1204,0,124,0.8645587070162145,13332
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,13368211.26,5252679.88,1961310.07,5786,0,4612,0,11209,0,1187,0,120,0.8337722005043504,13068
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,7609308.30,1714470.83,1614095.02,2863,0,2172,0,5697,0,783,0,98,0.8349208837325656,6828
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,87961938.03,0.00,0,21924,0,13789,0,49714,0,7132,231,0.9615674457295527,75084
